03-21-17-15-29-42	MouseMoveS	0	1333.156	1074.906	578.168
03-21-17-15-29-42	MouseMoveD	268.8561	1333.273	1105.16	311.0195
03-21-17-15-29-42	MouseMoveD	314.6052	1333.389	1152.523	0
03-21-17-15-29-42	MouseMoveV	-0.9997205	1333.505	1149.781	21.39453
03-21-17-15-29-42	MouseMoveD	172.5245	1333.839	1100.023	297.4297
03-21-17-15-29-43	MouseMoveV	-0.9530708	1334.072	1078.781	315.4141
03-21-17-15-29-43	OnMouseComponent	semaphore/4001	1334.189	1074.691	294.6992
03-21-17-15-29-43	MouseMoveS	0	1334.406	1073.648	252.9063
03-21-17-15-29-43	MouseDown	0	1334.672	1073.648	252.9063
03-21-17-15-29-43	MouseMoveV	-0.3363191	1334.839	1055.582	259.8711
03-21-17-15-29-44	MouseUp	0	1335.04	1053.492	260.918
03-21-17-15-29-44	MouseMoveS	0	1335.04	1053.492	260.918
03-21-17-15-29-44	MouseDown	1	1335.106	1053.492	260.918
03-21-17-15-29-44	OutMouseComponent	semaphore/4001	1335.439	1023.375	282.0703
03-21-17-15-29-44	MouseUp	1	1335.589	1005.398	296.2617
03-21-17-15-29-44	OnMouseComponent	semaphore/4001	1335.705	1030.82	279.543
03-21-17-15-29-44	MouseMoveV	-0.9832804	1335.772	1061.121	257.9531
03-21-17-15-29-45	MouseMoveV	-0.9913495	1336.006	1097.078	238.0547
03-21-17-15-29-45	MouseDown	1	1336.322	1081.813	249.2813
03-21-17-15-29-45	OutMouseComponent	semaphore/4001	1336.455	992.0039	284.0625
03-21-17-15-29-45	MouseMoveD	149.5792	1336.556	853.0508	339.4336
03-21-17-15-29-45	MouseUp	1	1336.739	852.0078	340.4805
03-21-17-15-29-45	MouseMoveS	0	1336.772	852.0078	340.4805
03-21-17-15-29-45	MouseMoveV	-0.7057838	1336.873	852.7031	340.4805
03-21-17-15-29-46	OnMouseComponent	semaphore/4001	1336.939	1070.016	254.8086
03-21-17-15-29-46	OutMouseComponent	semaphore/4001	1336.955	1180.762	219.2852
03-21-17-15-29-46	MouseMoveD	413.0352	1336.989	1242.402	203.6133
03-21-17-15-29-46	MouseMoveS	0	1337.089	1242.402	203.6133
03-21-17-15-29-46	MouseMoveV	-0.9831106	1337.206	1235.133	207.793
03-21-17-15-29-46	MouseMoveD	130.9244	1337.325	1112.941	254.8086
03-21-17-15-29-46	OnMouseComponent	semaphore/4001	1337.505	1099.75	256.8984
03-21-17-15-29-46	MouseMoveS	0	1337.656	1098.707	256.8984
03-21-17-15-29-46	MouseMoveV	-1	1337.756	1099.75	256.8984
03-21-17-15-29-46	OutMouseComponent	semaphore/4001	1337.772	1100.797	256.8984
03-21-17-15-29-47	MouseMoveS	0	1338.089	1194.824	317.8438
03-21-17-15-29-47	MouseMoveV	-0.9928288	1338.406	1187.734	312.4492
03-21-17-15-29-47	MouseMoveD	128.5899	1338.522	1151.168	189.168
03-21-17-15-29-48	MouseDown	0	1339.238	1146.988	52.4375
03-21-17-15-29-48	MouseMoveS	0	1339.373	1146.988	52.4375
03-21-17-15-29-48	SubmitCurrentLevelPlay	/Users/mxh23/Library/Application Support/unity.DefaultCompany.ParallelProg/currentLevel.txt	1339.389	1146.988	52.4375
03-21-17-15-29-48	MouseUp	0	1339.389	1146.988	52.4375
03-21-17-15-29-48	TriggerLoadLevel	/Users/mxh23/Library/Application Support/unity.DefaultCompany.ParallelProg/play_out_412234555759017278.txt	1339.856	1146.988	52.4375
03-21-17-15-29-49	MouseMoveS	0	1340.189	1147.988	52.4375
03-21-17-15-29-54	MouseMoveV	-1	1345.389	1145.898	52.4375
03-21-17-15-29-55	MouseMoveS	0	1345.972	1133.453	51.4375
03-21-17-15-29-55	TriggerGoalPopUp	You hit a dead end. Sorry, try again!	1345.972	1133.453	51.4375
03-21-17-15-29-57	MouseMoveV	-0.3858995	1348.073	1133.453	52.4375
03-21-17-15-29-57	MouseMoveS	0	1348.405	1065.543	128.5703
03-21-17-15-29-57	MouseMoveD	167.8827	1348.722	918.8008	366.3828
03-21-17-15-29-58	MouseMoveS	0	1349.189	873.5742	413.3555
03-21-17-15-29-58	MouseDown	0	1349.305	873.5742	413.3555
03-21-17-15-29-58	MouseUp	0	1349.472	873.5742	413.3555
03-21-17-15-29-59	TriggerLoadLevel		1349.972	873.5742	413.3555
03-21-17-15-29-59	MouseMoveV	-0.1736146	1350.439	876.5742	415.3555
03-21-17-15-30-00	MouseMoveV	-0.9568564	1350.905	928.4648	481.9141
03-21-17-15-30-00	MouseMoveS	0	1351.005	928.4648	481.9141
03-21-17-15-30-00	MouseMoveV	-0.9109841	1351.122	938.1719	477.8242
03-21-17-15-30-00	MouseMoveS	0	1351.355	959.0664	470.5117
03-21-17-15-30-00	MouseMoveS	0	1351.572	959.7617	470.5117
03-21-17-15-30-01	MouseMoveV	-0.7071068	1352.372	959.0664	469.8164
03-21-17-15-30-01	MouseMoveD	272.5295	1352.588	801.6992	176.3242
03-21-17-15-30-01	MouseMoveS	0	1352.789	732.7422	174.2344
03-21-17-15-30-02	OnMouseComponent	pickup/2001	1352.988	641.5898	169.3594
03-21-17-15-30-02	MouseMoveS	0	1353.355	592.8789	170.4063
03-21-17-15-30-02	MouseMoveV	0.0316745	1353.472	591.1836	223.9023
03-21-17-15-30-02	OutMouseComponent	pickup/2001	1353.488	591.1836	283.4531
03-21-17-15-30-02	MouseMoveD	344.6438	1353.589	616.2578	567.6328
03-21-17-15-30-03	MouseMoveS	0	1354.122	619.7383	664.918
03-21-17-15-30-06	MouseMoveV	-0.2559195	1357.822	636.1055	673.5352
03-21-17-15-30-07	MouseMoveD	237.777	1357.938	873.2695	656.4727
03-21-17-15-30-07	MouseMoveD	119.1467	1358.055	970.4336	587.5156
03-21-17-15-30-07	MouseMoveD	189.6076	1358.155	1076.652	430.4531
03-21-17-15-30-07	MouseMoveS	0	1358.355	1083.965	406.4219
03-21-17-15-30-07	MouseMoveV	0.4194659	1358.688	1126.094	400.5938
03-21-17-15-30-07	MouseMoveS	0	1358.888	1136.148	400.5938
03-21-17-15-30-08	MouseMoveV	-0.9365426	1359.455	1069.285	425.6211
03-21-17-15-30-08	MouseMoveD	494.8894	1359.572	645.1055	680.5469
03-21-17-15-30-08	OnMouseComponent	delivery/3001	1359.572	645.1055	680.5469
03-21-17-15-30-08	OutMouseComponent	delivery/3001	1359.605	564.6602	709.8008
03-21-17-15-30-08	MouseMoveD	117.8807	1359.672	532.2734	714.6758
03-21-17-15-30-08	MouseMoveS	0	1359.889	492.3555	738.2656
03-21-17-15-30-09	MouseMoveV	-0.9220494	1359.989	517.7344	734.7852
03-21-17-15-30-09	MouseMoveS	0	1360.739	569.8398	715.7188
03-21-17-15-30-10	OnMouseComponent	delivery/3001	1361.189	580.1992	698.2734
03-21-17-15-30-10	OutMouseComponent	delivery/3001	1361.221	603.1836	669.0195
03-21-17-15-30-10	MouseMoveD	357.6376	1361.289	827.8086	440.2148
03-21-17-15-30-10	MouseDown	0	1361.305	932.9805	337.1289
03-21-17-15-30-10	MouseUp	0	1361.372	1020.742	232.6523
03-21-17-15-30-10	MouseMoveD	283.3824	1361.405	1020.742	232.6523
03-21-17-15-30-10	MouseMoveS	0	1361.506	1020.742	232.6523
03-21-17-15-30-11	MouseMoveS	0	1362.305	1075.633	110.0781
03-21-17-15-30-13	MouseMoveS	0	1364.438	1078.238	43.49219
03-21-17-15-30-13	MouseDown	0	1364.839	1078.238	43.49219
03-21-17-15-30-14	SubmitCurrentLevelPlay	/Users/mxh23/Library/Application Support/unity.DefaultCompany.ParallelProg/currentLevel.txt	1364.955	1078.238	43.49219
03-21-17-15-30-14	MouseUp	0	1364.955	1078.238	43.49219
03-21-17-15-30-14	MouseMoveV	-0.7071068	1365.421	1078.238	44.49219
03-21-17-15-30-14	TriggerLoadLevel	/Users/mxh23/Library/Application Support/unity.DefaultCompany.ParallelProg/play_out_4525171378031121426.txt	1365.438	1079.285	44.49219
03-21-17-15-30-14	MouseMoveV	0	1365.521	1079.285	44.49219
03-21-17-15-30-14	MouseMoveS	0	1365.64	1079.285	44.49219
03-21-17-15-30-19	MouseMoveV	0	1370.605	1079.285	47.97266
03-21-17-15-30-20	MouseDown	1	1371.272	1056.648	246.0859
03-21-17-15-30-20	MouseUp	1	1371.371	1056.648	246.0859
03-21-17-15-30-20	MouseMoveS	0	1371.371	1056.648	246.0859
03-21-17-15-30-20	TriggerGoalPopUp	You hit a dead end. Sorry, try again!	1371.555	1056.648	246.0859
03-21-17-15-30-20	MouseMoveV	0.454691	1371.788	1058.691	247.1289
03-21-17-15-30-21	MouseDown	0	1372.59	868.1523	399.8359
03-21-17-15-30-21	MouseUp	0	1372.655	867.4531	399.8359
03-21-17-15-30-21	MouseMoveS	0	1372.805	866.7578	400.5313
03-21-17-15-30-22	MouseMoveV	-0.9520248	1372.905	892.1367	396.6563
03-21-17-15-30-22	MouseMoveD	190.1034	1373.021	1048.852	289.0469
03-21-17-15-30-22	TriggerLoadLevel		1373.155	1069.398	235.7617
